Designators,Qty,Brand,Part Number
C1-C2,2,Yageo,CC0603JRNPO9BN180
C7 C10,2,Taiyo Yuden,JMK107BB7475KA-T
C3 C5 C8-C9 C11-C13,7,TDK,C1608X8L1C105K080AC
C4 C6,2,Yageo,CC0603JPX7R9BB104
D1-D82,82,ON,MMDL914T1G
D164,1,Nexperia,BZT52-B5V6J
D83,1,Diodes,B250-13-F
D84-D163,80,OSRAM,LW Q38E-Q2OO-3K5L
F1,1,Bel Fuse,0ZCJ0075AF2E
FB1,1,Murata,BLM18PG221SH1D
J1,1,JST,S4B-PH-SM4-TB(LF)(SN)
J2,1,JST,S4B-PH-SM4-TB(LF)(SN)
J3,1,Molex,200528-0040
J4,1,Amphenol,12401610E4#2A
L1,1,Bourns,SRP4020TA-100M
R10,1,Vishay Dale,CRCW0603715KFKEA
R11,1,Yageo,RC0603FR-071ML
R12,1,Yageo,RC0603FR-0754K9L
R13-R14,2,Panasonic,ERJ-3EKF5101V
R1-R2,2,Vishay Dale,CRCW06030000Z0EAC
R3,1,Yageo,RC0603FR-0710KL
R4 R15,2,Vishay Dale,CRCW06030000Z0EAC
R5-R6 R9,3,Yageo,RC0603FR-074K7L
R7,1,Vishay Dale,CRCW060362K0FKEAC
R8,1,Vishay Dale,CRCW0603604KFKEA
SW1-SW82,82,Kailh,CPG135001D02
SW83,1,C&K,KMR221GLFS
SW84,1,Apem,DM01
U1,1,Microchip,ATMEGA32U4-AU
U2,1,Texas Instruments,TPS61185RGET
U3,1,Microchip,MCP1700T-3302E/TT
U4,1,STMicroelectronics,USBLC6-2SC6
Y1,1,Abracon,ABM8AIG-16.000MHz-4-T
