Designators,Qty,Brand,Part Number
BT1 ,1,Keystone,3000
C122 C161 ,2,Panasonic,EEE-FTH101XAP
C141 C162 C163 C100 C111 C114 C129 C130 C4 C5 C32 C1 C146 C145 ,14,Taiyo Yuden,UMK107BJ105KA-T
C143 C144 C154 C142 C156 C158 C165 C166 C30 C29 C28 C27 C138 C56 C57 C169 C168 C53 C54 C55 C59 C60 C61 C119 C101 C103 C113 C118 C115 C105 C108 C106 C109 C107 C110 C135 C136 C23 C24 C25 C22 C26 C86 C87 C88 C89 C95 C96 C97 C90 C92 C93 C94 C75 C74 C67 C84 C77 C76 C85 C70 C73 C66 C41 C39 C42 C40 C14 C8 C13 C12 C11 C10 C9 C15 C7 C49 C50 C2 C80 C140 C149 ,82,Yageo,CC0603JPX7R9BB104
C147 C127 C83 C123 C124 C126 C121 ,7,Murata,GRM188R60J476ME15D
C150 C137 C120 C155 C99 C112 C131 C133 C132 C134 C164 C71 C69 C72 C81 C63 C91 C43 C167 C37 C46 C47 C34 ,23,Murata,GRM188R6YA106MA73D
C151 C139 C170 C35 C33 C6 ,6,TDK,C1608X5R1V475K080AC
C157 C159 ,2,Taiyo Yuden,TMK107B7474KA-TR
C16 C17 ,2,UCC,EMZR500ARA221MHA0G
C18 C19 ,2,UCC,EMZR500ARA221MHA0G
C3 C31 ,2,TDK,C1608X7R1H334K080AC
C36 C38 ,2,Vishay,VJ0603A6R8DXQCW1BC
C44 C82 C125 C160 ,4,Taiyo Yuden,UMK107BBJ225KA-T
C45 ,1,KEMET,C0603C333J4REC7411
C52 C58 C152 C153 C102 C104 C116 C117 C128 C148 ,10,KEMET,C0603C103K5RAC3190
C65 ,1,KEMET,C0603C681J5GACTU
C79 C78 C68 C64 ,4,Murata,GRM1885C1H202JA01D
C98 C62 C20 C21 C51 C48 ,6,Yageo,CC0603JRNPO9BN180
D1 ,1,"Diodes, Inc.",BZT52C10-7-F
D10 ,1,Littelfuse,SP0503BAHT
D11 ,1,ROHM,SMLEN3WBC8W1
D12 ,1,ROHM,SMLEN3WBC8W1
D13 ,1,Vishay,SMAJ36CA-E3/5A
D14 D15 ,2,AVX,SD0603S040S0R2
D2 ,1,Nexperia,"BAT46WJ,115"
D20 D21 ,2,MCC,SK54A-LTP
D22 ,1,ROHM,SMLEN3WBC8W1
D23 ,1,ROHM,SMLEN3WBC8W1
D3 D6 D4 ,3,"Diodes, Inc.",SBR0560S1-7
D5 ,1,ROHM,RBR3MM60ATFTR
D7 ,1,"Diodes, Inc.",BZT52C6V2-7-F
D8 ,1,ROHM,SML-D12Y1WT86
D9 ,1,ROHM,SML-D12Y1WT86
F2 F1 ,2,Littelfuse,0157004.DR
FB10 FB11 FB16 FB17 FB20 FB18 FB19 FB21 FB22 FB3 FB4 FB12 FB15 FB14 ,14,Murata,BLM18KG101TN1D
FB7 FB6 FB5 FB9 FB8 FB1 FB2 ,7,Murata,BLM18PG221SH1D
H1 ,1,,
H22 H24 H25 H27 ,4,Wurth,9774010243
H3 ,1,,
J1 ,1,Switchcraft,RAPC712X
J10 ,1,TE,1-2199230-6
J11 ,1,Molex,48099-5701
J13 ,1,Molex,504050-0591
J14 ,1,JST,B4B-PH-K-S(LF)(SN)
J15 ,1,Hirose,FH12-33S-0.5SH(55)
J16 ,1,,
J18 ,1,Wurth,61300311121
J19 ,1,Amphenol FCI,20021111-00010T4LF
J2 ,1,Molex,504050-0591
J20 ,1,Wurth,61300311121
J21 ,1,JST,B4B-PH-K-S(LF)(SN)
J22 ,1,Molex,87914-1616
J23 ,1,JST,B4B-PH-K-S(LF)(SN)
J24 ,1,Molex,87758-3016
J3 ,1,TE,1775059-1
J4 ,1,Wurth,685119134923
J5 J17 J6 ,3,Wurth,692121030100
J7 ,1,CUI,SJ-43516-SMT-TR
J8 ,1,Wurth,629105136821
J9 ,1,JST,B4B-PH-K-S(LF)(SN)
L1 ,1,Wurth,7447709220
L10 L9 L11 L8 ,4,Murata,LQH32PB150MN0L
L2 ,1,Vishay Dale,IMC1210ER100K
L3 L4 ,2,Bourns,SRR1210-680M
L5 ,1,Taiyo Yuden,CBC3225T100MRV
L6 L7 ,2,Taiyo Yuden,BRL3225T2R2M
P1 ,1,Pulse,J0G-0003NL
Q11 Q5 Q10 Q9 Q8 Q7 Q6 Q12 ,8,Nexperia,PMV50EPEAR
Q13 Q14 Q4 ,3,Nexperia,PMV50ENEAR
Q18 Q3 ,2,Vishay Siliconix,SI7461DP-T1-E3
Q2 Q1 Q15 Q17 ,4,Vishay Siliconix,SI7850DP-T1-E3
R113 R119 R118 R117 R115 R45 R161 R196 R83 R2 R128 R172 R54 R95 ,14,Yageo,RC0603FR-0710KL
R120 R46 R160 R82 R81 R84 R85 R86 R103 R178 R179 R181 R3 R56 R8 R188 R189 R89 R94 R88 ,20,Vishay Dale,CRCW0603100KJNEAC
R123 R148 R198 R199 ,4,Yageo,RC0603FR-1049R9L
R135 R136 R43 R44 R132 R131 R60 R63 R58 R59 R69 R68 R174 ,13,Yageo,RC0603FR-074K7L
R138 R114 R139 R150 R151 R121 R70 R72 ,8,Vishay Dale,CRCW060333R0FKEAC
R140 ,1,Yageo,RC0603FR-07680RL
R143 R142 R144 R48 R47 R197 R80 ,7,Vishay Dale,CRCW060347K0FKEAC
R15 R9 R14 R13 R12 R11 R10 R16 R7 R52 R175 R176 ,12,Vishay Dale,CRCW0603100RFKEAC
R155 R154 R111 R141 R187 R152 R65 R107 R104 R108 R105 R109 R106 R39 R101 R77 R130 R129 R116 R146 R147 R73 R74 R75 R76 R79 R78 R124 R125 R126 R127 R157 R51 R182 R185 R186 R137 R194 R1 R193 R100 R98 ,42,Vishay Dale,CRCW06030000Z0EAC
R156 R97 R96 R55 R41 R4 R5 R6 R153 ,9,Yageo,RC0603FR-071ML
R167 ,1,Yageo,RC0603FR-0762RL
R169 R170 R171 R168 R42 R35 R122 R40 R38 R37 R102 R71 R195 ,13,Yageo,RC0603FR-071K5L
R173 ,1,Vishay Dale,CRCW060349K9FKEAC
R177 ,1,ROHM,LTR18EZPFSR020
R180 R34 ,2,Vishay Dale,CRCW0603150KFKEAC
R192 ,1,Bourns,CR0603-FX-2702ELF
R23 R17 R22 R21 R20 R19 R18 R24 ,8,Vishay Dale,CRCW06033K30FKEAC
R31 R25 R30 R29 R28 R27 R26 R32 ,8,TE Connectivity,35224R7JT
R36 ,1,Yageo,RC0603FR-07475RL
R50 R49 ,2,ROHM,LTR18EZPFU10L0
R53 ,1,Yageo,RC0603FR-07330RL
R57 ,1,Yageo,RC0603FR-079K53L
R61 ,1,Vishay Dale,CRCW060390K9FKEAC
R62 ,1,Yageo,RC0603FR-0710KL
R64 ,1,Yageo,RC0603FR-0751KL
R66 R112 ,2,Yageo,RC0603FR-07220RL
R67 R110 R33 R164 R183 R184 ,6,Yageo,RC0603FR-071KL
R93 R91 R92 R90 ,4,Yageo,RC0603FR-0727RL
R99 R87 ,2,Yageo,RC0603FR-0724K9L
SW3 SW1 ,2,Apem,DM01
SW5 ,1,Diptronics,DHA-04TQ
SW6 SW2 ,2,USAKRO,UK-B0206-G3.8-250-JZ
U1 ,1,TE,1717254-1
U10 ,1,Texas Instruments,SN65DSI86IPAPQ1
U11 ,1,Molex,67910-5700
U12 ,1,Texas Instruments,LM2677S-3.3/NOPB
U13 U19 ,2,Texas Instruments,TLV62568DBVR
U14 ,1,Texas Instruments,LMR16006YQ3
U16 U15 ,2,Texas Instruments,TPS2561DRCR
U17 ,1,Texas Instruments,TLV1117-18CDCYR
U18 ,1,NXP,LPC11U24FBD48-301
U2 ,1,Analog Devices,LTC4020EUHF#PBF
U20 U24 U27 ,3,"Diodes, Inc.",AP22815AWT-7
U22 ,1,Texas Instruments,TPD12S521
U23 ,1,IDT,5V41066PGGI8
U26 U25 U21 ,3,Littelfuse,SP3012-06UTG
U28 ,1,Texas Instruments,SN74AVC1T45
U3 ,1,Cirrus Logic,WM8960CGEFL/V
U4 ,1,Analog Devices,LTC6803IG-4#PBF
U5 ,1,NXP,"PCF8523T/1,118"
U6 ,1,Texas Instruments,INA260AIPWR
U7 ,1,Texas Instruments,LM2677SX-5
U8 ,1,Texas Instruments,TXS0108EPW
U9 ,1,Texas Instruments,TUSB8041IPAPRQ1
Y1 ,1,Abracon,ABM8AIG-24.000MHz-R40-4-T
Y2 ,1,Abracon,ABM8AIG-12.000MHz-2-T
Y3 ,1,Abracon,ABM8AIG-25.000MHz-R40-4-T
Y4 ,1,ECS,ECS-.327-7-34B-TR
