Part,Qty,Brand,Part Number
USB/SYSCTL Cable JST-PH 4P,3,MNT Research,MREFCBLU20R01
Speaker Cable JST-PH 4P,1,MNT Research,MREFCBLS20R01
eDP I-PEX to DuPont 2mm 2x15P Cable,1,MNT Research,MNT190722001
Sensor Cable 6P 50mm 0.5mm Pitch,1,Würth Elektronik,687606050002
OLED Cable 1mm Pitch 50mm,1,Würth Elektronik,686604050001
MIPI-DSI Cable FPC 0.5mm 33P 50mm,1,Würth Elektronik,687733050002
Battery Cable Picolock,2,Molex,151320502
Bottom Plate Acrylic Transparent,1,MNT Research,MREFCBPL20R01
Keyboard Frame Al6061 Black,1,MNT Research,MREFCKBF20R01
Main Box Al6061 Black,1,MNT Research,MREFCMBT20R01
Keyboard Frame Al6061 Black,1,MNT Research,MREFCMHS20R01
Left Port Cover Acrylic Black,1,MNT Research,MREFCPCL20R01
Right Port Cover Acrylic Black,1,MNT Research,MREFCPCR20R01
Screen Back Al6061 Black,1,MNT Research,MREFCSCB20R01
Screen Front Al6061 Black,1,MNT Research,MREFCSCF20R01
Left Hinge,1,Smooth Technology,SMS-ZZ-219-L
Right Hinge,1,Smooth Technology,SMS-ZZ-219-R
Neodymium Bar Magnet,8,MNT Research,MREFDMAG20R01
Rubber Foot Transparent,4,Modulor,0303782
M2 Flat Washer NF E 25-514,4,Accu,HAFZ-M2-A2
Screw M4x5 Countersunk DIN 965H,6,Accu,SIK-M4-5-A2
Screw M2x14 Countersunk DIN 965H,4,Accu,SIP-M2-14-A2
Screw M2x6 Countersunk DIN 965H,16,Accu,SIK-M2-6-A2
Screw M2x4 Pan Head DIN 7985H,30,Accu,SIP-M2-4-A2
Screw M2x4 Black Countersunk DIN 965H,2,Generic,–
Screw M2x5 Black Countersunk DIN 965H,13,Generic,–
Trackball Button Big (SLA),2,MNT Research,MREFXTB120R01
Trackball Button Small (SLA),3,MNT Research,MREFXTB220R01
Trackball Cup (SLA),1,MNT Research,MREFXTBC20R01
Trackball Lid (SLA),1,MNT Research,MREFXTBL20R01
Trackpad Holder (SLA or FDM-PETG),1,MNT Research,MREFXTPH20R01
Speaker Holder (SLA),2,MNT Research,MREFXSPK20R01
POM Ball Black 25mm,1,MNT Research,MREFBALB20R01
Motherboard PCBA,1,MNT Research,MREFAMOB20R02
Keyboard PCBA,1,MNT Research,MREFAKBD20R01
OLED PCBA,1,MNT Research,MREFAOLE20R01
Trackball Controller PCBA,1,MNT Research,MREFATBC20R01
Trackball Sensor PCBA,1,MNT Research,MREFATBS20R01
Trackpad Controller PCBA,,MNT Research,MREFATPC20R01
Trackpad Sensor,,Azoteq,TPS65-201A-B
Battery Pack PCBA,2,MNT Research,MREFABAT20D03
Display Panel eDP IPS 12.5”,1,Innolux,N125HCE-GN1
Speaker,2,PUI Audio,AS01808AO-3-R
Keycap 1U,72,MNT/FKcaps or Kailh,BSPG1350-06001P2
Keycap 1.5U,10,MNT/FKcaps or Kailh,BSPG1350-06009
CPU Module i.MX8M,1,Boundary Devices,Nit8MQ_SOM_4r16e
Piñatex Sleeve (Reform Max),1,MNT Research,MREFSLBP20R01
Operator Handbook (Reform Max),1,MNT Research,MREFBOOK20R01
Power Supply 24V 2.5A 60W,1,Mean Well,GST60A24
Power Cable IEC 60320 C14,1,Depending on Region,–
Battery Cell LiFePO4 18650,1,JGNE,HTCFR18650
