Designators,Qty,Brand,Part Number
C1 C2 ,2,Yageo,CC0603JRNPO9BN180
C3 C5 ,2,Yageo,CC0603JPX7R9BB104
C4 ,1,TDK,C1608X8L1C105K080AC
D5 D4 D3 D2 D1 ,5,OSRAM,LW Q38E-Q2OO-3K5L
D6 ,1,Nexperia,BZT52-B5V6J
F1 ,1,Bel Fuse,0ZCJ0075AF2E
FB1 ,1,Murata,BLM18PG221SH1D
J1 ,1,JST,B4B-PH-K-S(LF)(SN)
J2 ,1,Hirose,FH12-6S-0.5SH(55)
R10 R11 ,2,Yageo,RC0603FR-074K7L
R2 R1 ,2,Vishay Dale,CRCW060310K0JNEAC
R7 R6 R5 R4 R3 ,5,Yageo,RC0603FR-07475RL
R8 R9 ,2,Yageo,RT0603DRD0722RL
SW5 SW4 SW3 SW2 SW1 ,5,Kailh,CPG135001D02
SW6 ,1,C&K,KMR221GLFS
SW7 ,1,Apem,DM01
U1 ,1,Microchip,ATMEGA32U2-AU
U2 ,1,Texas Instruments,TLV75533PDBVR
U3 ,1,ST,USBLC6-2SC6
Y1 ,1,Abracon,ABM8AIG-16.000MHz-4-T
